6.891781297680021900e-01 6.891780580335534756e-01 6.891778656059236452e-01 6.891775419903570787e-01 6.891770828050436393e-01 6.891764818611603172e-01 6.891757311106004869e-01 6.891748205819769879e-01 6.891737383080575041e-01 6.891724702493142729e-01 6.891710002205150287e-01 6.891693098300936127e-01 6.891673784471220587e-01 6.891651832145810896e-01 6.891626991372312716e-01
6.891866190829555316e-01 6.891865528117534501e-01 6.891863760066909705e-01 6.891860782249340511e-01 6.891856547676743494e-01 6.891850989792209781e-01 6.891844021705352263e-01 6.891835535224979381e-01 6.891825399708483291e-01 6.891813460760195520e-01 6.891799538829416205e-01 6.891783427795464823e-01 6.891764893658507418e-01 6.891743673534445058e-01 6.891719475228442748e-01
6.891953420754709514e-01 6.891952826064166038e-01 6.891951251433884318e-01 6.891948594389922800e-01 6.891944805437585364e-01 6.891939814272104448e-01 6.891933528760562089e-01 6.891925833626864062e-01 6.891916588841657809e-01 6.891905627727388239e-01 6.891892754799678888e-01 6.891877743406219503e-01 6.891860333236112801e-01 6.891840227872588764e-01 6.891817092629174413e-01
6.892042728508959160e-01 6.892042215913561920e-01 6.892040873787158572e-01 6.892038603227292892e-01 6.892035353105343543e-01 6.892031050587582586e-01 6.892025599875631903e-01 6.892018880541443959e-01 6.892010745448685638e-01 6.892001018239329868e-01 6.891989490367804727e-01 6.891975917696154808e-01 6.891960016661585753e-01 6.891941460120478702e-01 6.891919873030422083e-01
6.892133803420045224e-01 6.892133387429031366e-01 6.892132318083555864e-01 6.892130501843612977e-01 6.892127887007877263e-01 6.892124399730944484e-01 6.892119942535294141e-01 6.892114392322405969e-01 6.892107597849876921e-01 6.892099376617693007e-01 6.892089511099633858e-01 6.892077744264551997e-01 6.892063774322487735e-01 6.892047248683260685e-01 6.892027757157715984e-01
6.892226281577567004e-01 6.892225976832574430e-01 6.892225220901282423e-01 6.892223927523595250e-01 6.892222045666510644e-01 6.892219502258857267e-01 6.892216200509091450e-01 6.892212017647019184e-01 6.892206802020495182e-01 6.892200369452413655e-01 6.892192498745265405e-01 6.892182926193071157e-01 6.892171338945844994e-01 6.892157367059513762e-01 6.892140574073570836e-01
6.892319745432683442e-01 6.892319566356492899e-01 6.892319163855540332e-01 6.892318460938030578e-01 6.892317408630856956e-01 6.892315936639932250e-01 6.892313951539775774e-01 6.892311334327563266e-01 6.892307937245201188e-01 6.892303579737589780e-01 6.892298043386698714e-01 6.892291065595231858e-01 6.892282331763412984e-01 6.892271465621212512e-01 6.892258017324527364e-01
6.892413724682621146e-01 6.892413685089968656e-01 6.892413674334119111e-01 6.892413626697273532e-01 6.892413496749709712e-01 6.892413219123625368e-01 6.892412706656514398e-01 6.892411847866661834e-01 6.892410503645945985e-01 6.892408503007704246e-01 6.892405637690355302e-01 6.892401655315022468e-01 6.892396250745677078e-01 6.892389055150044408e-01 6.892379622125470728e-01
6.892507698575581765e-01 6.892507811260170092e-01 6.892508227714034819e-01 6.892508895445386141e-01 6.892509774079091933e-01 6.892510805375106075e-01 6.892511911418425230e-01 6.892512992146071493e-01 6.892513922087066813e-01 6.892514546136292442e-01 6.892514674139353925e-01 6.892514073850666279e-01 6.892512462451380051e-01 6.892509494179371865e-01 6.892504746265838422e-01
6.892601099720137015e-01 6.892601376035405458e-01 6.892602251147076364e-01 6.892603687609225593e-01 6.892605651568324276e-01 6.892608094056091872e-01 6.892610949324677883e-01 6.892614132565212381e-01 6.892617536888179242e-01 6.892621029388589227e-01 6.892624446069095523e-01 6.892627585264096135e-01 6.892630199117320000e-01 6.892631982435021287e-01 6.892632557968699780e-01
