8.251458698098414505e-04 8.246769589162286380e-04 8.234039043558003196e-04 8.212721733606382973e-04 8.182668452132121385e-04 8.143671167745807592e-04 8.095464051753534099e-04 8.037725049410900406e-04 7.970078194015538459e-04 7.892096925689142447e-04 7.803308740403520080e-04 7.703201569929625861e-04 7.591232350217194278e-04 7.466838371619741220e-04 7.329451935972345266e-04
8.666880077794763973e-04 8.662233891057375974e-04 8.649646829590024698e-04 8.628554233099085475e-04 8.598784929777047829e-04 8.560099491161493037e-04 8.512190619265760190e-04 8.454683908889397501e-04 8.387139200206762246e-04 8.309052812555254349e-04 8.219861031712825256e-04 8.118945323648632008e-04 8.005639841770494395e-04 7.879241971348899688e-04 7.739026658341767798e-04
9.099008429463485183e-04 9.094454302024174630e-04 9.082147730035228066e-04 9.061508125134442107e-04 9.032342174087134743e-04 8.994378637587281721e-04 8.947267919680939544e-04 8.890581775678933025e-04 8.823813377885848710e-04 8.746378044582922388e-04 8.657615037154720505e-04 8.556790942608376652e-04 8.443105353375451524e-04 8.315699642328702994e-04 8.173669938254197803e-04
9.547460132392979193e-04 9.543053468077052938e-04 9.531181691322979880e-04 9.511252652566476321e-04 9.483051417141248997e-04 9.446275501506826806e-04 9.400533448591558193e-04 9.345343231955019307e-04 9.280130695221833594e-04 9.204228324409187726e-04 9.116874764018822455e-04 9.017215614475613704e-04 8.904306313930435320e-04 8.777117991537690790e-04 8.634547656783294863e-04
1.001164609950772532e-03 1.000744838966615823e-03 9.996182519631060560e-04 9.977250180730253687e-04 9.950416171605788295e-04 9.915348518661501812e-04 9.871615898314125160e-04 9.818684503338677427e-04 9.755914528085739930e-04 9.682556530332358906e-04 9.597748048030894496e-04 9.500510992923891316e-04 9.389750630632696547e-04 9.264257118302860481e-04 9.122711119770747284e-04
1.049074973538484086e-03 1.048682814193480214e-03 1.047635494389912575e-03 1.045873215311582480e-03 1.043370661192264846e-03 1.040091998608721905e-03 1.035990490777310589e-03 1.031008011368883407e-03 1.025074469183329725e-03 1.018107162108353517e-03 1.010010089203796247e-03 1.000673268091927665e-03 9.899721247632539689e-04 9.777670602284787172e-04 9.639033430296588267e-04
1.098370647900580180e-03 1.098013314820221655e-03 1.097065314351421562e-03 1.095467635479777666e-03 1.093193502428132851e-03 1.090204910532094167e-03 1.086452105614331854e-03 1.081872912983997863e-03 1.076391918421576313e-03 1.069919508289635546e-03 1.062350782531073460e-03 1.053564375250083283e-03 1.043421226055517943e-03 1.031763396749678461e-03 1.018413065308820765e-03
1.148918591128879211e-03 1.148603699605396829e-03 1.147776175569215074e-03 1.146378654076584324e-03 1.144383343802659204e-03 1.141750693350404187e-03 1.138428736352133487e-03 1.134352233860187005e-03 1.129441604818144694e-03 1.123601636469013457e-03 1.116719967823146236e-03 1.108665358363047134e-03 1.099285750966683562e-03 1.088406192567250219e-03 1.075826704526137729e-03
1.200557748484297211e-03 1.200293186708070291e-03 1.199608048116102476e-03 1.198447560028561556e-03 1.196783469951667733e-03 1.194575461647333012e-03 1.191770381163758307e-03 1.188301202856967232e-03 1.184085719853381416e-03 1.179024931080912544e-03 1.173001093718464751e-03 1.165875417662684630e-03 1.157485371566711625e-03 1.147641604785184415e-03 1.136124511314853596e-03
1.253098096143418329e-03 1.252891868315510757e-03 1.252371337859033672e-03 1.251485349120837372e-03 1.250205834132558707e-03 1.248492641672240651e-03 1.246292660065379280e-03 1.243538634198036296e-03 1.240147647278242327e-03 1.236019218741851765e-03 1.231032960627075892e-03 1.225045725374593200e-03 1.217888166448511094e-03 1.209360636603841509e-03 1.199228353319265654e-03
